platform,name,link,tags,metric_type,metric_value,metric_last_checked,proof_of_value,metrics_status
Base44,App templates (catalog hub),https://docs.base44.com/Guides/App-templates,"catalog,base44",clones,,2025-09-27,Hub officiel de templates clonables (preuve d'usage via clones).,catalog_hub_login_required
Base44,Prompt Library — Client Portal,https://docs.base44.com/Getting-Started/Prompt-library,"prompt,base44",prompt_official,,2025-09-27,Prompts officiels orientés business (portail client).,no_counter_official_source
Base44,Prompt Library — Invoice Tracker,https://docs.base44.com/Getting-Started/Prompt-library,"prompt,base44,finance",prompt_official,,2025-09-27,"Gestion de factures, app business.",no_counter_official_source
Base44,Prompt Library — Proposal Generator (PDF),https://docs.base44.com/Getting-Started/Prompt-library,"prompt,base44,sales",prompt_official,,2025-09-27,Génération de propositions PDF (vente).,no_counter_official_source
Base44,Prompt Library — Simple CRM,https://docs.base44.com/Getting-Started/Prompt-library,"prompt,base44,crm",prompt_official,,2025-09-27,CRM simple utilisable en prod.,no_counter_official_source
Base44,Prompt Library — Time Tracker,https://docs.base44.com/Getting-Started/Prompt-library,"prompt,base44,ops",prompt_official,,2025-09-27,"Tracking d'heures, export CSV/PDF.",no_counter_official_source
Base44,Prompt Library — Event RSVP,https://docs.base44.com/Getting-Started/Prompt-library,"prompt,base44,events",prompt_official,,2025-09-27,Gestion d'événements et RSVP.,no_counter_official_source
Base44,Prompt Library — Knowledge Base,https://docs.base44.com/Getting-Started/Prompt-library,"prompt,base44,knowledge",prompt_official,,2025-09-27,Base de connaissance interne.,no_counter_official_source
Base44,Prompt Library — AI Assistant Builder,https://docs.base44.com/Getting-Started/Prompt-library,"prompt,base44,ai",prompt_official,,2025-09-27,Assistant IA spécialisé sur base de DB.,no_counter_official_source
Base44,Prompting guide (quality framework),https://docs.base44.com/Getting-Started/Prompt-guide,"guide,base44",official_guide,,2025-09-27,Cadre de qualité pour des prompts robustes.,unknown_visibility
n8n,Shopify → Sheets (orders export),https://n8n.io/workflows/3218-get-all-orders-in-shopify-to-google-sheets/,"ecommerce,shopify,sheets",downloads_or_favorites,,2025-09-27,Export commandes Shopify vers Sheets (reporting).,public_page_counter_available
n8n,Shopify → Sheets (products sync),https://n8n.io/workflows/2089-shopify-to-google-sheets-product-sync-automation/,"ecommerce,shopify,sheets",downloads_or_favorites,,2025-09-27,Sync produits Shopify vers Sheets (catalogue).,public_page_counter_available
n8n,Shopify order auto-fulfillment,https://n8n.io/workflows/3296-automatic-shopify-order-fulfillment-process/,"ecommerce,shopify,ops",downloads_or_favorites,,2025-09-27,Marquage automatique des commandes comme 'Fulfilled'.,public_page_counter_available
n8n,Stripe → Slack/Gmail purchase alerts,https://n8n.io/workflows/3410-get-notified-on-gmail-telegram-and-slack-on-new-stripe-purchase/,"finance,stripe,alerts",downloads_or_favorites,,2025-09-27,Alerte paiement en temps réel (Stripe).,public_page_counter_available
