platform,name,link,evidence_note,metric_type,metric_value,metric_last_checked,proof_of_value
Base44,Task Manager,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — section Starter prompts (Quick Builds).,,,,
Base44,Idea Tracker,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Starter prompts.,,,,
Base44,Daily Journal,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Starter prompts.,,,,
Base44,Simple CRM,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Starter prompts.,,,,
Base44,Event RSVP Tracker,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Starter prompts.,,,,
Base44,Client Portal,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Business & Productivity Apps.,,,,
Base44,Proposal Generator (PDF),https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Business & Productivity Apps.,,,,
Base44,Invoice Tracker (Freelance),https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Business & Productivity Apps.,,,,
Base44,Time Tracker,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Business & Productivity Apps.,,,,
Base44,Knowledge Base (Internal wiki),https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Knowledge & Content Tools.,,,,
Base44,Course Companion,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Knowledge & Content Tools.,,,,
Base44,Blog Idea Vault,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Knowledge & Content Tools.,,,,
Base44,Meal Planner,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Personal & Lifestyle Tools.,,,,
Base44,Habit Tracker,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Personal & Lifestyle Tools.,,,,
Base44,Gift List Organizer,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Personal & Lifestyle Tools.,,,,
