platform,name,link,evidence_note,tags,metric_type,metric_value,metric_last_checked,proof_of_value,metrics_status
Base44,Task Manager,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — section Starter prompts (Quick Builds).,prompt,prompt_official,,2025-09-27,"Prompt officiel Base44 (qualité doc, réutilisé en démos/tutos).",no_counter_official_source
Base44,Idea Tracker,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Starter prompts.,prompt,prompt_official,,2025-09-27,"Prompt officiel Base44 (qualité doc, réutilisé en démos/tutos).",no_counter_official_source
Base44,Daily Journal,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Starter prompts.,prompt,prompt_official,,2025-09-27,"Prompt officiel Base44 (qualité doc, réutilisé en démos/tutos).",no_counter_official_source
Base44,Simple CRM,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Starter prompts.,prompt,prompt_official,,2025-09-27,"Prompt officiel Base44 (qualité doc, réutilisé en démos/tutos).",no_counter_official_source
Base44,Event RSVP Tracker,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Starter prompts.,prompt,prompt_official,,2025-09-27,"Prompt officiel Base44 (qualité doc, réutilisé en démos/tutos).",no_counter_official_source
Base44,Client Portal,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Business & Productivity Apps.,prompt,prompt_official,,2025-09-27,"Prompt officiel Base44 (qualité doc, réutilisé en démos/tutos).",no_counter_official_source
Base44,Proposal Generator (PDF),https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Business & Productivity Apps.,prompt,prompt_official,,2025-09-27,"Prompt officiel Base44 (qualité doc, réutilisé en démos/tutos).",no_counter_official_source
Base44,Invoice Tracker (Freelance),https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Business & Productivity Apps.,prompt,prompt_official,,2025-09-27,"Prompt officiel Base44 (qualité doc, réutilisé en démos/tutos).",no_counter_official_source
Base44,Time Tracker,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Business & Productivity Apps.,prompt,prompt_official,,2025-09-27,"Prompt officiel Base44 (qualité doc, réutilisé en démos/tutos).",no_counter_official_source
Base44,Knowledge Base (Internal wiki),https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Knowledge & Content Tools.,prompt,prompt_official,,2025-09-27,"Prompt officiel Base44 (qualité doc, réutilisé en démos/tutos).",no_counter_official_source
Base44,Course Companion,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Knowledge & Content Tools.,prompt,prompt_official,,2025-09-27,"Prompt officiel Base44 (qualité doc, réutilisé en démos/tutos).",no_counter_official_source
Base44,Blog Idea Vault,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Knowledge & Content Tools.,prompt,prompt_official,,2025-09-27,"Prompt officiel Base44 (qualité doc, réutilisé en démos/tutos).",no_counter_official_source
Base44,Meal Planner,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Personal & Lifestyle Tools.,prompt,prompt_official,,2025-09-27,"Prompt officiel Base44 (qualité doc, réutilisé en démos/tutos).",no_counter_official_source
Base44,Habit Tracker,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Personal & Lifestyle Tools.,prompt,prompt_official,,2025-09-27,"Prompt officiel Base44 (qualité doc, réutilisé en démos/tutos).",no_counter_official_source
Base44,Gift List Organizer,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Personal & Lifestyle Tools.,prompt,prompt_official,,2025-09-27,"Prompt officiel Base44 (qualité doc, réutilisé en démos/tutos).",no_counter_official_source
Base44,AI Assistant Builder (profession-tailored),https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Experimental or Niche Apps.,prompt,prompt_official,,2025-09-27,"Prompt officiel Base44 (qualité doc, réutilisé en démos/tutos).",no_counter_official_source
Base44,Workflow Automation Sandbox,https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Experimental or Niche Apps.,prompt,prompt_official,,2025-09-27,"Prompt officiel Base44 (qualité doc, réutilisé en démos/tutos).",no_counter_official_source
Base44,Feedback Collector (with sentiment),https://docs.base44.com/Getting-Started/Prompt-library,Prompt Library officielle — Experimental or Niche Apps.,prompt,prompt_official,,2025-09-27,"Prompt officiel Base44 (qualité doc, réutilisé en démos/tutos).",no_counter_official_source
